Log4j2, CVE-2021-45046
iPhone 13, side-channel attack
AudioCodes VoIP desk phones, flaws in the certified hardware
Azure Active Directory, misconfiguration issue
free5gc, CVE-2022-43677
Windows, ProxyShell
Microsoft Excel, CVE-2018-0798
ExeonTrace, malware
Cobalt Strike, Fortinet SSL VPN appliance
CODESYS, CVE-2021-29240
Microsoft Windows, CVE-2022-21907
Orion, reverse tabnabbing and open redirect vulnerability
Kubernetes Helm Chart, CVE-2022-24348
OMEN Command Center, CVE-2021-3437
OwlProxy, vulnerabilities in Exchange Servers
RV340, CVE-2022-20708
AVX-512, remote memory-corruption vulnerability
Looney Tunables, CVE-2023-4911
NetScan, phishing
AppTrana, business logic flaws
Google Cloud, privilege escalation vulnerability
Workstation, CVE-2023-20869
GoDaddy Managed WordPress, man-in-the-middle (MITM) attack
SPF, malware
Firefox, CVE-2022-26485
Booking.com, CVE-2020-8913
ETIC Telecom's Remote Access Server (RAS), CVE-2022-40981
APKPure, Trojans
iMessage, HOMAGE
Azure, dependency confusion attack
BulletProofLink, adversary-in-the-middle (AiTM) attacks
CVSS v3.0, Common Vulnerability Scoring System
AhnLab V3, zero-day
iMessage, going dark
printed circuit board, electromagnetic interference
Android, CVE-2021-1048
web console, multiple flaws
Polkit, CVE-2021-4034
Global Management System, CVE-2022-22280
Core Telephony, CVE-2021-31010
TikTok, surreptitious data practices
RV130W, CVE-2021-1292
password manager, malicious code
Azure Site Recovery, CVE-2022-22039
Kerberos Key Distribution Center, CVE-2021-23008
Internet Explorer, CVE-2021-26419
DefenseScreen, phishing webpages
Microsoft Scripting Engine, CVE-2020-17052
tru.ID API, SIM swap fraud
Conti, Log4Shell
Office 365, suspicious SaaS usage
Google Play Store, banking trojan
AOSP, Bluetooth authentication procedure
Malwarebytes, inadequate legacy protocols
Adobe Commerce, CVE-2022-24086
Opera Touch, address bar spoofing vulnerability
Redundancy Configuration Manager, CVE-2022-20649
Exchange server, zero-day flaws
PAM360, CVE-2022-47523
PC Keyboard, CVE-2022-45482
iOS 13.5.1-13.7, CVE-2021-1782
USBFerry, Exchange server flaws
ChatGPT, compliance
Small Business routers, CVE-2021-1325
Global Management System, CVE-2023-34124
Python packages, namespace confusion
Google, CVE-2021-XXXXX
Aria Operations for Networks, CVE-2023-34039
web console, security vulnerabilities
FRRouting, misconfigurations
Log4j, RCE
AvosLocker, TELNET
Samsung, privilege escalation
Google Chrome, DLL sideloading
Microsoft, model theft
Modbus, CVE-2021-22648
AMI MegaRAC Baseboard Management Controller, CVE-2022-26872
SMTP, man-in-the-middle (MitM) attacks
Exchange Online, token validation issue
Azure Automation, AutoWarp
PyPI, dependency confusion
PayPal, stolen login credentials
RV340, CVE-2022-20842
Android, design flaws
Teardrop, Cobalt Strike Beacon
Elementor, vulnerabilities
CODESYS V3, CVE-2022-47387
ALAC, ALHACK
VMWare Horizon, Log4Shell
ImmuniWeb Community Edition, ROBOT
Zerobot, CVE-2022-33891
ZIP, MotW bypass flaw
Indusface WAS, CWE Top 25
dbutil_2_3.sys, CVE-2021-21551
VMware Identity Manager, CVE-2021-22002
Service Fabric, FabriXss
SolarWinds Access Rights Manager, CVE-2023-35187
Visual Studio Project, trojanized Visual Studio Project
true random number generator, critical vulnerability in hardware random number generators
Veeam Backup & Replication, ProxyLogon
MOVEit Transfer, SQL injection flaw
Azure, insufficient identity checks
iPhone 6s, zero-click exploits
Python, typosquatting
C standard library, BadAlloc
PyPI, second-stage malware
npm, vulnerabilities
Mimikatz, PrintNightmare
Global Management System, CVE-2023-34134
HID Mercury controllers, CVE-2022-31484
Identity and Access Management, Exposure
ssport.sys, privilege escalation
GateManager, CVE-2020-11644
Cloud Director, CVE-2022-22966
Microsoft Outlook, leak of login names and passwords
Splunk, Supply chain attacks
MicroSCADA System Data Manager SDM600, CVE-2022-3682
Brave, remote code execution vulnerability
Linux, CVE-2023-29491
JavaScript, prototype pollution
iPadOS, CVE-2021-1844
Travis CI, CVE-2021-41077
Microsoft Exchange Servers, CVE-2021-26858
web application firewalls, cross-site-scripting
application programming interfaces, cybersecurity issues
Pling platform, XSS exploit
SaaS, unreleased exploits
HTTP Protocol Stack, CVE-2022-21846
Bluetooth Impersonation AttackS, impersonation attacks
macOS, CVE-2022-22587
macOS, CVE-2021-30938
Windows Defender, Defender-Pretender
iOS, CVE-2023-32434
Google, vulnerabilities
IoT, remote code execution
Ultimate Malware Reverse Engineering Bundle, bugs
VMware Aria Operations for Logs, CVE-2023-20865
WordPress plugins, CSRF
PostgreSQL, SQL injection flaw
IMAP, man-in-the-middle (MitM) attacks
Nucleus TCP/IP stack, CVE-2021-31888
Windows Print Spooler, CVE-2022-44681
Connect Secure, CVE-2020-8260
Edge browser, CVE-2021-1705
Amazon Web Services, misconfigured Amazon Web Services (AWS) instances
Unified Access Gateway, CVE-2021-44228
SaaS applications, injection flaws
Salesforce, phishing attack
Dropbox, interrupt-based side channels
Pulse Connect Secure, CVE-2021-22908
Windows 8, unpatched weakness
Cisco, CVE-2021-XXXXX
Indusface AppTrana, smart attacks
VMware Identity Manager, CVE-2021-22003
User Datagram Protocol, amplified distributed denial-of-service
Win32k.sys, CVE-2022-21882
Facebook, scraping vulnerabilities
NPM, stolen OAuth user tokens
markedjs, dependency confusion attacks
antivirus software, Ghost Control
Uniform Resource Locator (URL) parsing libraries, information leaks
Junos OS, CVE-2023-36846
Hermit, zero-day exploits
Exchange Server, CVE-2023-32031
Roundcube, CVE-2020-35730
Remote PowerShell, lateral movement
CNAME cloaking, session fixation
Apache NiFi, CVE-2023-34468
macOS, potentially unwanted programs
Microsoft, ransomware
sudo, CVE-2021-3156
ChatGPT, brute-forcing OpenAI APIs
Telepad, CVE-2022-45483
BrutePrint, Match-After-Lock
Qualcomm chipsets, CVE-2020-11261
WikiLeaks, trojans
Windows 10, SeriousSAM
OWA, zero-day vulnerability
Microsoft Authenticator, brute-force password spraying attacks
SiriusXM's Connected Vehicles (CV) Services, authorization flaw
Sitel Group, remote desktop protocol vulnerability
Microsoft, CVE-2022-41076
Azure Container Instances, Azurescape
macOS, trojans
Atlassian, unauthorized parties accessed accounts
AI, phishing scams
iMessage, zero-days
VPN, Credential reuse
Windows OLE, CVE-2023-29325
Android, toll fraud
APKPure version 3.17.18, advertisement SDK
Bukalapak, token verification
USB hub, optical side-channel
SSPM, data breaches
Intel, disclosure
Rig Exploit Kit, CVE-2021-26411
Microsoft Azure, server-side request forgery (SSRF)
Sunburst, lateral movement
Linux agent, multiple flaws
OAuth client library for Java, CVE-2021-22573
SMA 8000v, authentication bypass vulnerability
Explorer, CVE-2021-40444
Maven, account takeover
AI GitHub repository, overly permissive SAS token
.NET-based implants, stolen credentials
Linux kernel, CVE-2023-3269
SprySOCKS, CVE-2019-9621
Facebook, phone number enumeration
BlackCat, zero-day vulnerabilities
ASUS motherboards, backdoored motherboard
Exchange Servers, CVE-2021-26855
Hive, zero-day exploits
Cybersecurity Advisor Program, supply chain attacks
Copilot, bugs
Netatalk, CVE-2022-0194
API security platform, API-related breaches
GitLab, CVE-2022-0735
SaaS, shadow IT
JasperReports Library, CVE-2018-18809
Microsoft, CVE-2022-41118
Citrix ShareFile Storage Zones Controller, CVE-2021-22941
Wireshark, one-click vulnerabilities
SureMDM, security weaknesses
modem chip, CVE-2020-11292
Software-as-a-Service (SaaS), misconfigurations
Gentoo Soko, CVE-2023-28424
QNAP NAS devices, zero-day flaw
macOS Ventura, Achilles
Dridex, Auto-Open macro
com.ss.android.ugc.trill, CVE-2022-28799
API management suites, unauthorized access
FreePBX, CVE-2019-19006
Pegasus, CVE-2023-41064
MOVEit Transfer, security flaws
SafeDNS, viruses
curl, CVE-2022-21893
PAExec, watering hole attacks
network inspection equipment, TCP-non-compliance
BMC firmware, CVE-2019-6260
Microsoft 365, zero-day flaw
Word, CVE-2021-31178
Cisco Jabber, CVE-2021-1469
Microsoft Exchange, ProxyShell vulnerabilities
iOS, privacy nightmare
Revive, intercept SMS messages
Chrome 88, Spectre
TCP/IP, CVE-2021-24094
Active Directory, Kerberoasting
nation-state censorship apparatus, TCP-non-compliance
Nexus 9000 Series Switches, CVE-2022-20623
Trend Micro Premium Security Suite, phishing
digital video recorders, weak and default remote access passwords
macOS, scareware
ESXi, CVE-2020-4004
Google Cloud, HTTP/2 Rapid Reset
Microsoft, CVE-2023-35388
Google, malicious apps
Ninja Forms, code injection
libarchive, CVE-2022-21893
RDP, Remote Desktop Protocol
PyPI, package impersonation
RDP gateway, RCE vulnerability
SaaS app, unnecessary privileges
Datadog, weak authentication
createRaid, CVE-2022-24989
ScrutisWeb, CVE-2023-38257
Parrot traffic direction system, 0-day vulnerabilities
C#, CVE-2021-42574
IoT devices, misconfigured
ZLD firmware, CVE-2020-29583
Visual Basic for Applications, macros
PaperCut NG, CVE-2023-27350
nodejs_net_server, remote shell functionality
DrayTek Vigor router models 3900, end-of-life (EoL)
CODESYS, CVE-2022-32136
Global Management System, CVE-2023-34132
cloud technology, Weak Authentication Techniques
RLBox, supply-chain attacks
multifunction printers, CVE-2021-39238
Google Chrome, CryptBot
ArubaOS, CVE-2023-22749
iPadOS 14.8, CVE-2021-30860
Windows operating system, CVE-2022-30190
Microsoft Exchange Server, CVE-2021-34523
Image I/O, buffer overflow vulnerability
iPhone 6 Plus, CVE-2021-30666
Outlook, cache bypass
iPadOS 16, state-sponsored surveillanceware
Atlassian Confluence, Atlassian Confluence
Google Drive, cache-based targeted de-anonymization attack
HID Mercury access controller system, CVE-2022-31480
SSPM, malicious apps
coa, password-stealing malware
RenderDoc, CVE-2023-33863
SCM service Kudu, CSRF (cross-site request forgery)
GeoServer, CVE-2023-25157
InTouchPOS, e-skimmer infections
MFA, SIM swap techniques
Kubernetes, CVE-2023-3676
npm, poisoning
Apple apps, exfiltrate sensitive data
PetitPotam, NTLM relay attack
BMC firmware, CVE-2023-40288
Azure Service Fabric Explorer, reflected XSS vulnerability
ENDOFDAYS, iCloud calendar invitations
Apache Tomcat, CVE-2023-35081
Acrobat 2020, CVE-2023-26369
SaaS, auto-email forwarding
GitLab, CVE-2022-1190
Windows, NotPetya
Visa, man-in-the-middle (MitM) replay and relay attack
API, DDoS attacks
Gmail, shadow IT risks
SMTP, Man-in-the-Middle (MitM) attacks
Fusion, CVE-2023-20869
network slicing, adversary-in-the-middle attacks
Honeywell Experion distributed control system, Crit.IX
Google Cloud Platform, privilege escalation flaws
Zoho ManageEngine AD SelfService Plus, Log4Shell
Unified Identity Protection, ransomware spread
Cisco Adaptive Security Appliance (ASA) Software, CVE-2022-20713
Logout4Shell, zero-day vulnerability
Microsoft Word, MalDoc in PDF
OpenAI's ChatGPT, NodeStealer
generative AI, emerging risks
Azure Service Fabric Explorer, Super FabriXss
Golang, Log4Shell
GlobalProtect service, CVE-2021-3064
AllBlock, affiliate fraud
HPE, security vulnerabilities
Hyper-V, CVE-2020-17095
Microsoft Exchange Server, CVE-2021-33766
Outlook, CVE-2021-31178
SharkBot, anti-emulator checks
MySQL, CVE-2016-6662
FIDO tokens, MITM attacks
Threat Intelligence, zero day vulnerabilities
TBox, CVE-2021-22642
RV160W, CVE-2021-1602
Logout4Shell, CVE-2021-44228
Indusface, zero-day attacks
Visual Studio Extension, CVE-2023-28299
AOSP, AuthValue disclosure
AMI MegaRAC Baseboard Management Controller (BMC) software, CVE-2022-40259
Office 2016, zero-day flaw
Visual C++, process hollowing
Kubernetes, data breaches
Lastpass, compromised passwords
Microsoft Exchange Server, ProxyShell vulnerabilities
Microsoft, CVE-2022-29114
Fortinet FortiOS, CVE-2023-2868
Bukalapak, access token
audio digital signal processor, CVE-2021-0661
KnowBe4, Vidar
Windows 11, brute-force attacks
Enzoic, compromised credentials
Citrix Gateway, CVE-2022-27510
vCenter Server, CVE-2021-21972
TrickBoot, UEFI/BIOS firmware
Sunburst, command-and-control (C2) server
Apple macOS, persistence capabilities
Redmi Note 9S, GhostTouch
AMI MegaRAC BMCs, CVE-2023-40289
MFA, SS7 protocol vulnerabilities
Play Store, banking trojan
UEFI system firmware, CVE-2023-40288
Windows Filtering Platform, NoFilter
Microsoft, CVE-2023-36563
InTheBox, web injects
noblox.js-proxies, ransomware
Octo, overlay attacks
PAM360, CVE-2022-35405
OpenSSL, CVE-2014-0160
Intruder, spyware
Bluetooth chipsets, BrakTooth
Facebook, Illinois Biometric Information Privacy Act (BIPA)
GitHub Copilot, bugs
RV260W, CVE-2021-1294
PowerSPF, DoS attacks
Power Platform, cross-tenant vulnerability
OAuth 2.0, replay attacks
ManageEngine ADSelfService Plus, CVE-2021-40539
artificial cardiac pacemakers, minimal support
Gigabyte motherboards, UEFI bootkits
FatPipe MPVPN, zero-day vulnerability
PrestaShop, CVE-2017-9841
Microsoft Office, CryptBot
CDNJS, remote code execution
Salesforce, misconfiguration issues
Google Play Store, critical vulnerabilities
macOS Big Sur, CVE-2021-30713
DnfClientShell32.exe, command-and-control server
RSA, spear phishing
Grafana, DDoS attacks
Fortra's GoAnywhere MFT managed file transfer application, CVE-2023-0669
ManageEngine Endpoint Central, CVE-2022-47966
Google Chrome, clipboard poisoning attack
Exchange server, kernel
Python Package Index, arbitrary deletion of project documentation files
SpyC23, watering hole attacks
GitHub, security vulnerability
Office 365, misappropriated privileges
Find My, unauthorized access to users' location histories
Log4j, critical flaw
Custom Logo, CVE-2023-40932
Revive, accessibility services API
iPad mini 3, CVE-2021-30666
Sophos, Bring Your Own Vulnerable Driver (BYOVD)
Telegram, DLL sideloading
WebKit, CVE-2021-30984t
PSexec, exploitable vulnerabilities
RV260P, CVE-2021-1289
Kubernetes, unauthorized access
Exchange Server 2016, Y2K22 problem
Chromium, Spectre
Exobot, banking trojan
Microsoft's Support Diagnostic Tool, CVE-2022-30190
UCS, CVE-2023-1968
Access Manager Plus, CVE-2022-47966
Firmware, CVE-2022-40517
VMware, Log4Shell
VMware vRealize Log Insight, CVE-2021-22021
Bluetooth Impersonation AttackS, AuthValue disclosure
PoC Android app, PIN bypass attack
Web Application Firewall, DDoS
cloud workloads, identity threats
npm package registry, dependency confusion
BMC IPMI software, CVE-2023-40287
iOS 16, post-exploit persistence technique
QTS, CVE-2022-23123
V8, CVE-2021-21224
Microsoft, adversary-in-the-middle (AiTM) proxy toolkits
WhatsApp, CVE-2020-1910
Office 365, email thread hijacking
CDNJS, path traversal vulnerability
Dahua, national security threat
OAuth, over permissioned users
Chrome, CVE-2021-21220
SAP applications, CVE-2016-3976
Citrix Gateway, CVE-2022-27513
smart contracts, misconfigurations
Exchange Server 2019, Y2K22 problem
SonicWall, zero-day vulnerability
iOS, zero-click vulnerability
FaceTime, privacy-eroding flaw
Windows, CVE-2021-36942
Google Play Store, keylogger functionality
Micron, Rowhammer
API, unmanaged and unsecured API vulnerability exploit
Moxa's MXview, CVE-2021-38454
CODESYS Control runtime system, CVE-2022-31806
Windows, CVE-2021-36936
Microsoft Office 365, configuration weakness
Microsoft Exchange Servers, ProxyLogon
Google app, malicious app
Zscaler ThreatLabz, SSL-based attacks
JWT, data breaches
Windows 10, CVE-2022-21882
Nokia's ASIK AirScale 5G Common System Module, CVE-2022-2483
Windows Kernel, CVE-2022-21989
Microsoft, heap overflow
Aruba network switches, remote code execution vulnerabilities
Infusomat Space Large Volume Pump, security vulnerabilities
SPF, domain spoofing
iPadOS 14.8, CVE-2021-31010
SharePoint Server, CVE-2021-42309
Mozilla Firefox, XS-Leaks
ABB flow computer, CVE-2022-0902
Cisco Security Manager, Java deserialization vulnerability
AI Guided Remediation, misconfigurations
APC Smart-UPS devices, TLStorm
Microsoft, CVE-2022-3723
Outlook, brute-force password spraying attacks
FortiNAC, CVE-2023-33300
Virtual System Administrator (VSA), CVE-2021-30120
NIST Cyber Security Framework, malware
Game Networking Sockets, CVE-2020-6018
Ubuntu 20.04, CVE-2021-33909
Apache Log4j 2, CVE-2021-44832
External Attack Surface Management, zero day vulnerabilities
Amazon APIs, misconfiguration
NextSeq 500, flaws
Message Guard, zero-click attacks
Gartner, vulnerability exploitation
HID Mercury access controller system, CVE-2022-31482
Google Maps' Geolocation API, location-revealing privacy attack called Wi-Peep
OpenSSH, CVE-2023-25136
APIs, vulnerabilities
GitHub, phishing
ESXi servers, unpatched security flaws
audio digital signal processor, CVE-2021-0663
Orion Platform, CVE-2021-25275
Fedora 37, CVE-2023-4911
Linux, CVE-2022-0847
Zero Trust Architecture, misconfigurations
PowerDMARC, email phishing
XNU kernel, CVE-2021-30869
3CXDesktopApp, beaconing
Cisco Industrial Network Director, CVE-2023-20039
macOS, CVE-2023-23529
Dr.Web, adware
The Hacker News, ransomware
Specops Password Auditor, RDP brute-force attack
colors.js, typosquatting
Log4j, Log4j vulnerabilities
Pentaho, list of flaws
Windows Installer, CVE-2022-30147
Print Spooler service, CVE-2021-36936
Adaptive Shield, ransomware attacks
RV260P, CVE-2021-1297
Cargo, vulnerabilities
Amzetta zPortal DVM Tools, privilege escalation
NoMachine, buffer overflow
Microsoft Edge, zero-day flaw
cryptsetup, CVE-2021-4122
iPadOS, CVE-2023-28205
Milesight, CVE-2023-43261
Underground ransomware, CVE-2023-36884
motherboards, implants
Python Package Index, malicious code
NetCloud OS, AuthValue disclosure
Nut/Net, CVE-2020-25111
Amazon Photos app, high severity vulnerability
OpenAI, CVE-2023-28432
Chromium-based Microsoft Edge, CVE-2022-26925
Pulse Secure Pulse Connect Secure, CVE-2019-11510
Microsoft Exchange, ProxyNotShell
Kernel, CVE-2023-23514
nodejs_net_server, malicious password stealing
Azure Cosmos DB, CosMiss
LogJam, zero-day vulnerability
PJSIP, buffer overflows
SMA 100 series, CVE-2021-20034
Windows, DLL side-loading
Crowd, CVE-2022-43782
Excel, CVE-2021-31178
Quarkus, CVE-2022-4116
XcodeSpy, malware
Microsoft Exchange Servers, vulnerabilities
LibreOffice, CVE-2021-43527
heart defibrillators, medical device outages
Arm's Mali GPU, CVE-2022-33917
Android Framework, CVE-2023-20963
HID Mercury controllers, CVE-2022-31482
Kubernetes, weak authentication
Okta, phone-based phishing tactics
HP EliteBook, CVE-2022-31644
STARTTLS, response injection
Exchange Server 2016, zero-day vulnerabilities
Microsoft 365, brute-force password spraying attacks
Android, CVE-2022-36449
UAParser.js, supply-chain attack
Secure Boot, CVE-2021-3970
Microsoft Exchange Server 2019, ProxyLogon flaws
BIG-IQ, CVE-2022-41622
Open Plug-n-Play (PnP) module, CVE-2022-20841
Slack, backdoors
Freetype, CVE-2020-15999
SolarWinds Orion Platform, Solorigate
GIGABYTE drivers, CVE-2018-19322
Keymaster TA, security flaws
Microsoft Visual Studio 2022 version 17.6, CVE-2023-38180
operating system, security updates
Chromium-based Edge browser, CVE-2022-41033
HID Mercury access panels, CVE-2022-31486
RV016, CVE-2021-1316
cloud security engineering best practices, data breaches
Pulse Connect Secure, CVE-2020-8260
software supply chain, flaws in third-party software
Device Verification, malware
Twitter, logic flaws
GNOME Shell Extensions marketplace, XSS flaw
Google Play Store, Xenomorph banking malware
Cisco, credential stuffing
Digicert, compromised personal access token
Centreon, vulnerabilities
NEFilterDataProvider, firewall bypass
Android, critical vulnerabilities
Active Directory, password spraying attacks
Small Business RV110W, CVE-2022-20825
Cisco Application Centric Infrastructure (ACI) Multi-Site Orchestrator (MSO), CVE-2021-1388
Login/Signup Popup, CVE-2022-0215
Identity Provider, malicious applications
Windows MSHTML platform, CVE-2021-33742
AnalyticDB for PostgreSQL, remote code execution bug
Sage X3, CVE-2020-7387
MalLocker, obfuscation mechanism
Zero Trust Network Access, polymorphic variants
User Datagram Protocol, DDoS
Atlassian Confluence, newly disclosed flaw
Ubuntu, CVE-2021-44731
Cato Networks, ransomware
FreeBSD, NAME:WRECK
Exynos chips, zero-day vulnerabilities
MOVEit Transfer, SQL injection vulnerabilities
WordPress, plaintext passwords
operating systems, known vulnerability
CentOS 8, Log4j vulnerability
watchOS, CVE-2021-30661
Internet Explorer, zero-day
Donglify, privilege escalation
XS-Leaks, Meltdown
Chrome, email thread hijacking
Arm, Spectre
Travis-CI, stolen OAuth user tokens
TBox, CVE-2021-22644
QNAP, CVE-2021-28799
LadonGo, vulnerabilities in Exchange Servers
Safari, CVE-2023-32373
Microsoft, leaks
DevOps, software supply chain vulnerabilities
Chrome, CVE-2021-37976
0patch, MotW bypass flaw
insulin pumps, minimal support
network-attached storage, optical covert channel
RV340, CVE-2022-20699
TriangleDB, CVE-2023-32434
Night OWL, CVE-2018-9995
Eltima, buffer overflow
SMA 100 series, multiple security vulnerabilities
Microsoft Active Directory Domain Controllers, CVE-2021-34494
Atom, compromised personal access token
Bluetooth Special Interest Group, Bluetooth authentication procedure
Animation component, use-after-free
PowerSPF, BEC
Windows, CVE-2021-36948
nation-state censorship apparatus, DDoS reflected amplification attacks
UEFI, compromised UEFI firmware
Open Authorization, financial fraud
Uniform Resource Locator (URL) parsing libraries, remote code execution
ENDOFDAYS, zero-click exploit
Manjusaka, zero-day vulnerabilities
Moxa's MXview, CVE-2021-40390
Samsung, security breaches
iMessage, FORCEDENTRY
Indeed, open redirection vulnerability
GNU C library, Looney Tunables
QuickBlox, CVE-2023-31184
iOS, CVE-2023-41992
RubyGems, malicious code
GitHub, theft of GitHub integration OAuth tokens
iOS, CVE-2022-22594
SSPM, cyberattacks
macOS Mojave, CVE-2021-1844
Nucleus TCP/IP stack, CVE-2021-31886
GateManager, CVE-2020-11645
Active Directory Certificate Services, NTLM relay attack
cloud-based management solutions, CVE-2023-2586
U.S. Cybersecurity and Infrastructure Security Agency, zero-day vulnerabilities
Google Workspace, data leaks
Accellion File Transfer Appliance, CVE-2021-27102
Apple devices, zero-click exploits
Microsoft Teams, password spray
Microsoft Excel, CVE-2017-11882
Laminas Project, CVE-2021-3007
Microsoft Office, known vulnerabilities
IMAPLoader, stolen credentials
Honeywell, OT:ICEFALL
Secure Boot, CVE-2022-1890
IBM QRadar, CVE-2019-4545
RDP Proxy, CVE-2023-4966
TLS-RPT, email spoofing
Wing Security, unauthorized dissemination
GodFather, bankbot
iOS, CVE-2022-22675
Identity Provider, ransomware attacks
Microsoft Exchange Server, ProxyOracle
Netatalk, CVE-2022-23121
Microsoft Windows Support Diagnostic Tool, CVE-2022-35743
SafeDNS, ransomware
Pimcore AdminBundle v6.8.0, security flaws
Electron application, RCE vulnerability
iMessage, zero-day vulnerability
web application firewalls, JavaScript injection attacks
AMI MegaRAC BMCs, CVE-2023-40287
urllib.parse, CVE-2023-24329
BadgerDAO, maliciously injected snippet
Juniper SRX firewalls, CVE-2023-36846
Bitcoin, ransomware
Safari, CVE-2021-30665
Gateway, CVE-2023-3519
web application firewalls, API-related breaches
Slack, security holes
Firefox, CVE-2023-4863
R4IoT, vulnerable IoT devices
Internet Explorer, CVE-2020-0674
Vulnerability Prioritization Technology, CVE
Content security policies, skimming attacks
Netop Vision Pro, CVE-2021-27194
Digicert, unauthorized access
SSL/TLS encryption, man-in-the-middle attacks
Microsoft Exchange Server, newly disclosed vulnerabilities
Microsoft Exchange, CVE-2021-34473
V8 JavaScript and WebAssembly engine, type confusion
SHA-256, side-channel attacks
Bugcrowd, vulnerability management
RustBucket, backdoor
Dell BIOS, CVE-2022-24419
watchOS, CVE-2023-28206
nodejs_net_server, credential exfiltration
SaaS apps, misconfiguration
generative artificial intelligence, leakage of sensitive data
WordPress, plugin vulnerabilities
Microsoft Excel, Mark of the Web (MotW)
Outlook.com, token validation issue
MenuDrive, e-skimmer infections
Trivy, Log4Shell
Indusface WAS, unpatched vulnerabilities
Zscaler Zero Trust Exchange, ransomware
Alibaba Cloud's ApsaraDB RDS for PostgreSQL, privilege escalation flaw
Sucuri, security vulnerabilities
PAExec, stolen credentials
Microsoft, source code leaks
Discord, phishing
Sunlogin, CNVD-2022-03672
Open Web Application Security Project, SQL Injection
artificial joints, minimal support
RIG exploit kit, CVE-2016-0189
Microsoft Office, CVE-2017-0261
Ubuntu 21.04, CVE-2021-33909
@dynamic-form-components/shineout, malware
SSPM, Exposure
Exchange server, print spooler
InHand Networks InRouter 302, CVE-2022-46649
Magento 2, CVE-2022-24087
V8, CVE-2021-30563
Safari, CVE-2022-2294
Outlook, fake digital authentication tokens
Contacts, CVE-2022-44698
Siemens Simatic programmable logic controller, CVE-2020-15782
SureMDM console, multiple flaws
Specops Password Auditor, weak passwords
Microsoft Exchange Server, ProxyShell flaws
Specops Password Policy, password spraying
Netcomm routers, CVE-2022-4873
Windows Pragmatic General Multicast, CVE-2023-32015
Intruder's authenticated web app scanner, credential management
iMessage, zero-day vulnerabilities
Adobe, CVE-2023-29298
PC Keyboard, CVE-2022-45480
Microsoft, CVE-2023-38180
Heroku, stolen OAuth user tokens
ForgeRock's OpenAM, CVE-2021-35464
TLS-RPT, impersonation attacks
BIMI, email spoofing
Box, mixup of MFA modes
Windows 11, CVE-2022-21894
System component, CVE-2021-0918
GitLab GraphQL API, CVE-2021-4191
Automation Direct DirectLOGIC 06 PLC, CVE-2022-2003
RV110W, CVE-2021-1294
BeautifulSoup, Malware
Zero Trust, Advanced Persistent Threats
Zscaler Zero Trust Exchange, evasion techniques
Club Factory, hardcoded private Amazon Web Services (AWS) keys
CLRLoad, ProxyShell
Orion, CVE-2020-35856
Slack, stolen tokens
Microchip Technology, Bluetooth authentication procedure
GE's Universal Relay firmware, CVE-2021-27422
RV260, CVE-2021-1296
Questions For Confluence, CVE-2022-26138
TP-Link routers, CVE-2022-4498
Cobalt Strike, backdoor
System Integrity Protection, CVE-2023-32369
RV325, CVE-2021-1315
MITRE, Out-of-bounds Read
GE Healthcare, MDhex-Ray
